Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Acta Botanica Brasilica,01023306,,Sociedade Botanica do Brasil
Acta Botanica Croatica,03650588,,Sveuciliste u Zagrebu
Acta Botanica Fennica,00015369,,Finnish Zoological and Botanical Publishing Board
Acta Botanica Gallica,12538078,,Societe Botanique de France
Acta Botanica Hungarica,02366495,15882578,Akademiai Kiado
Acta Botanica Malacitana,02109506 ,,Universidad de Malaga
Acta Botanica Mexicana,01877151 ,,Instituto de Ecologia
Acta Botanica Neerlandica,00445983,,Thieme
Acta Botanica Sinica,05777496,,Science Press
Acta Botanica Venezuelica,00845906,,"Instituto Botanico, Direccion de Recursos Naturales Renovables, Ministerio de Agricultura y Cria"
"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a",03650766 ,,Swets & Zeitlinger
Acta Cardiologica,00015385,,Association Royale des Societes Scientifiques Medicales Belges/Koninklijke Vereniging van de Belgische Medische Wetenschappelijke Genootschappen
Acta Cardiologica Sinica,10116842,,Zhonghua Minguo Xinzang Xuehui Zazhi
Acta Cardiomiologica,11248874,,Mediterranean Society of Mythology
Acta Carsologica,05836050,15802612,Institute za Raziskovanje Krasa
Acta Chemica Scandinavica,0904213X,,RSC
Acta Chemica Scandinavica,00015393,,Wiley-Blackwell
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry,03024369,,Wiley-Blackwell
Acta Chimica Academiae Scientiarum Hungaricae,00015407,,Akademiai Kiado
Acta Chimica Hungarica,02313146,,Akademiai Kiado
Acta Chimica Sinica,05677351 ,,Chinese Chemical Society/Zhongguo Huaxuehui
Acta Chimica Slovenica,13180207,,Slovenian Chemical Society
Acta Chiropterologica,15081109,,Polska Akademia Nauk
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,00015415,,Scientia Medica
Acta Chirurgiae Plasticae,00015423,,Nakladatelske Stredisko CLSJE Purkyne
Acta Chirurgiae Plasticae,03230414,,Praha Galen
Acta Chirurgica Academiae Scientiarum Hungaricae,00015431,,Akademiai Kiado
Acta Chirurgica Austriaca,0001544X,,Wiley-Blackwell
Acta Chirurgica Belgica,00015458,,Acta Medica Belgica
Acta Chirurgica Hungarica,02314614,,Akademiai Kiado
Acta Chirurgica Italica,00015466,,Editrice La Garangola
Acta chirurgica Iugoslavica,0354950X,,Udruzenje Hirurga Jugoslavije
Acta chirurgica Patavina,03906892 ,,Editrice La Garangola
Acta Chirurgica Scandinavica,00015482,,Almgvist & Wiksells
"Acta Chirurgica Scandinavica, Supplement",03011860,,Society for Publication of Acta Chirurgica Scandinavica
Acta Chromatographica,12332356,,Uniwersytet Slaski w Katowicach
Acta Cientifica Venezolana,00015504,,Asociacion Venezolana para el Avance de la Ciencia
Acta Cirurgica Brasileira,01028650,,Sociedade Portuguesa de Hemorreologia
Acta Classica,00651141 ,,The aim of the Classical Association of South Africa (CASA)
Acta Clinica Belgica,00015512,,University Hospital Ghent
Acta clinica Belgica. Supplementum,05677386,,University Hospital Ghent
Acta Clinica Croatica,03539466,13339451,Sestre Milosrdnice University Hospital
"Acta Clinica Croatica, Supplement",03539474,,Sestre Milosrdnice University Hospital
Acta Colombiana de Psicologia,01239155,,Universidad Catolica de Colombia
Acta Comeniana,02315955 ,,Ceska Akademie Verlag
Acta Criminologiae et Medicinae Legalis Japonica,03020029,,Japanese Association of Criminology
Acta Crystallographica,0365110X,,Wiley-Blackwell
Acta Crystallographica Section A: Foundations of Crystallography,01087673,,Wiley-Blackwell
Acta Crystallographica Section B: Structural Science,01087681,16005740,Wiley-Blackwell
Acta Crystallographica Section C: Crystal Structure Communications,01082701,16005759,Wiley-Blackwell
Acta Crystallographica Section D: Biological Crystallography,09074449,13990047,Wiley-Blackwell
Acta Crystallographica Section E: Structure Reports Online,16005368,,Wiley-Blackwell
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,17443091,,International Union of Crystallography
Acta crystallographica. Section B: Structural crystallography and crystal chemistry,05677408,,Wiley-Blackwell
Acta Cybernetica,0324721X,,Szegedi Tudomanyegyetern/University of Szeged
Acta Cytologica,00015547,,Science Printers and Publishers
Acta Dermatologica,00651176,,Kyoto University
Acta dermatologica-Kyoto. English edition,03760189,,"Department of Dermatology, Faculty of Medicine, Kyoto University"
Acta Dermato-Venereologica,00015555,16512057,Taylor & Francis
"Acta Dermato-Venereologica, Supplement",03658341,,Taylor & Francis
"Acta Dermatovenerologica Alpina, Panonica et Adriatica",13184458,,Dermatovenerological Society of Slovenia
Acta Dermatovenerologica Croatica,1330027X,,Sveuciliste u Zagrebu
Acta Dermatovenerologica Iugoslavica,03024466,,Udruzenje dermatovenerologa Jugoslavije
Acta Diabetologica,09405429,,Springer
Acta Diabetologica Latina,00015563,,Casa Editrice II Ponte
Acta Ecologica Sinica,10000933,,Science Press
Acta embryologiae et morphologiae experimentalis,05677416,,Palermo Cofese
Acta Embryologiae et Morphologiae Experimentalis,03919706,,Halocynthia Association
Acta Embryologiae Experimentalis,00651184,,Industria Grafica Nazionale
Acta Endocrinologica,18410987,,Editura Academiei Romane/Publishing House of the Romanian Academy
Acta Endocrinologica,00015598,,Wiley-Blackwell
Acta endocrinologica Iberica,04004000 ,,Sociedades Espanola y Portuguesa de Endocrinologia
"Acta Endocrinologica, Supplement",03009750,,Ejnar Munksgaard
Acta Endoscopica,0240642X,12421383,Springer
Acta Endoscopica et Radiocinematographica,03979164,,Endoscopica
Acta Endoscopica Polona,08674140,,Oficyna Literacka
Acta Entomologica Musei Nationalis Pragae,03741036,,Narodni Muzeum
Acta Entomologica Sinica,04546296,,Ko hsueh chu pan she
Acta Ethnographica Hungarica,12169803,15882586,Akademiai Kiado
Acta Ethologica,08739749,14379546,Springer
Acta Facultatis Medicae Fluminensis,00651206,,Sveuciliste u Rijeci
Acta Facultatis Medicae Naissensis,03516083,,Medicinski Fakultet Univerziteta u Nisu
Acta Facultatis Pharmaceuticae Universitatis Comenianae,03012298 ,,Univerzita Komenskeho
Acta Facultatis Xylologiae,13363824,,Technicka Univerzita vo Zvolene
Acta Farmaceutica Bonaerense,03262383,,Colegio de Farmaceuticos de la Provincia de Buenos Aires
Acta Forestalia Fennica,00015636,,Suomen Metsatieteellinen Seura/Finnish Society of Forest Science
Acta Gastro-Enterologica Belgica,00015644,,Acta Medica Belgica
Acta Gastroenterologica Latinoamericana,03009033,,Sociedad Argentina de Gastroenterologia
Acta genetica et statistica medica,05677440,,Karger
Acta Geneticae Medicae et Gemellologiae,00015660,,Associazione Istituto di Genetica Medica e Gemellologia Gregorio Mendel
Acta Geodaetica et Cartographica Sinica,10011595,,Cehui Chubanshe
Acta Geodaetica et Geophysica,22135812 ,22135820 ,Springer
Acta Geodaetica et Geophysica Hungarica,12178977,15871037,Akademiai Kiado
"Acta Geodaetica, Geophysica et Montanistica",03741842,,Akademiai Kiado
"Acta Geodaetica, Geophysica et Montanistica Hungarica",02365758,,Akademiai Kiado
Acta Geodynamica et Geomaterialia,12149705,,Academy of Sciences of the Czech Republic
Acta Geographica,00015687,,Societe de Geographie
Acta Geographica Croatica,13300466,,"Geografski Odjel, Prirodoslovno-Matematicki Fakultet, Sveuciliste u Zagrebu"
Acta Geographica Lodziensia,00651249,,Lodz Scientific Society
Acta Geographica Lovaniensia,00651257,,Universite Catholique de Louvain
Acta Geographica Sinica,03755444,,Science Press
Acta Geographica Slovenica,15818314,,Geografski institut Antona Melika ZRC SAZU
Acta Geologica Hispanica,05677505,,Instituto Nacional de Geologia
Acta Geologica Hungarica,02365278,,Akademiai Kiado
Acta Geologica Polonica,00015709,,Wydawnictwo Naukowe INVIT
Acta Geologica Sinica,00015717,,Science Press
Acta Geologica Sinica (English Edition),10009515,,Geological Publishing House
Acta Geologica Slovaca,13380044 ,13385674 ,Comenius University
Acta Geophysica,18956572,18957455,Springer
Acta Geophysica Polonica,00015725,,Polska Akademia Nauk
Acta Geophysica Sinica,00015733,,Science Press
Acta Geoscientica Sinica,10063021 ,,di qiu xue bao bian ji bu
Acta Geotechnica,18611125,18611133,Springer
Acta Ginecologica,00015776,,Editores Medicos S.A
Acta gynaecologica et obstetrica Hispano-Lusitana,00015784,,Mario Cardia
Acta Haematologica,00015792,14219662,Karger
Acta Haematologica Polonica,00015814,,Elsevier
Acta Hepato-Gastroenterologica,0300970X,,Thieme
Acta hepatologica,,,Thieme
Acta Hepatologica Japonica,04514203,,Japanese Society of Hepatology
Acta hepato-splenologica,00015822,,Thieme
Acta Herpetologica,18279635,18279643,Firenze University Press
Acta Histochemica,00651281,,Elsevier
Acta Histochemica et Cytochemica,00445991,13475800,Japan Society of Histochemistry and Cytochemistry
Acta Historiae Artium,00015830 ,15882608 ,Akademiai Kiado
Acta historica Leopoldina,00015857,,Johann Ambrosius Barth
Acta Historica Tallinnensia,14062925 ,17367476 ,Teaduste Akadeemia Kirjastus/Estonian Academy Publishers
Acta Histriae,13180185,,University of Primorska
Acta Horticulturae,05677572,,International Society for Horticultural Science
Acta Hospitalia,00446009,,Katholieke Universiteit Leuven
Acta Hydrochimica et Hydrobiologica,03234320,1521401X,Wiley-Blackwell
Acta Ichthyologica et Piscatoria,01371592,17341515,Wydawnictwo Naukowe Akademii Rolniczej
Acta Informatica,00015903,14320525,Springer
Acta Informatica Medica,03538109 ,,Society of Medical Informatics of Bosnia and Herzegovina
Acta Juridica Hungarica,12162574,15882616,Akademiai Kiado Rt.
Acta Koreana,15207412,,"Keimyung University, Academia Koreana"
Acta Leidensia,00651362,,Institut Voor Tropische Geneeskunde
Acta Leprologica,00015938,,Ordre de Malte Pour I'Assistance aux Lepreux
Acta Limnologica Brasiliensia,01026712 ,,Brazilian Society of Limnology
Acta Linguistica Hafniensia,03740463,,Nordisk Sprog- og Kulturforlag
Acta Linguistica Hungarica,12168076,15882624,Akademiai Kiado
Acta Literaria,07160909,07176848,Universidad de Concepcion
Acta Materialia,13596454,,Elsevier
Acta Mathematica,00015962,,Royal Swedish Academy of Sciences
Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,08660182,,Nyregyhazi Foiskola/College of Nyregyhaza
Acta Mathematica Academiae Scientiarum Hungaricae,00015954 ,,Springer
Acta Mathematica Hungarica,02365294,15882632,Springer
Acta Mathematica Scientia,02529602,,Springer
Acta Mathematica Sinica,10009574,,Science Press
"Acta Mathematica Sinica, Chinese Series",05831431 ,,shu xue xue bao bian ji bu
"Acta Mathematica Sinica, English Series",14398516,14397617,Springer
Acta Mathematica Universitatis Comenianae,08629544,,Comenius University Press
Acta Mathematica Vietnamica,02514184 ,,Springer
Acta Mathematicae Applicatae Sinica,01689673,,Springer
Acta Mechanica,00015970,16196937,Springer
Acta Mechanica et Automatica,18984088 ,,Bialystok University of Technology
Acta Mechanica Sinica/Lixue Xuebao,05677718,,Science Press
Acta Mechanica Solida Sinica,08949166,18602134,Huazhong University of Science and Technology
"Acta medica (Hradec Kralove) / Universitas Carolina, Facultas Medica Hradec Kralove",12114286,,Vydavatelstvi Karolinum
"Acta medica (Hradec Kralove). Supplementum Universitas Carolina, Facultas Medica Hradec Kralove",1211247X,,Vydavatelstvi Karolinum
Acta Medica Academiae Scientiarum Hungaricae,00015989,,Akademiai Kiado
Acta Medica Austriaca,03038173,15632571,Springer
Acta medica Austriaca. Supplement,03038181,,Wiley-Blackwell
Acta Medica Auxologica,00016004,,Istituto Auxologico Italiano
Acta Medica Bulgarica,03241750,,Meditsinski Universitet - Sofia
Acta Medica Croatica,13300164,,Croatian Academy of Medical Sciences
Acta Medica Dominicana,03794857,,Acta Medica Dominicana
Acta Medica et Biologica,05677734,,Niigata Daigaku
Acta Medica Hungarica,02365286,,Akademiai Kiado
Acta medica Indonesiana,01259326,,Indonesian Society of Internal Medicine
Acta Medica Iranica,00446025,,Tehran University of Medical Sciences
Acta medica Italica di malattie infettive e parassitarie,03653285 ,,Clinica delle Malattie Tropicali e Subtropicali - Universita
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia,00016039 ,,Clinica delle Malattie Tropicali e Subtropicali - Universita
